id,indexed_date,language,media_name,media_url,publish_date,title,url,parsed_title,parsed_authors,Text,parsed_tags,parsed_summary,parsed_keywords,subtopic,central body,political figure,affiliate,stance,opposition
040f2d7778040bedacec572f66446e31c51e5cc6ab2fb3e775e5848ece9f30e0,2025-07-02 15:51:38.113666+00:00,en,indianexpress.com,indianexpress.com,2019-06-21,One man show,https://indianexpress.com/article/opinion/columns/narendra-modi-amit-shah-bjp-federalism-elections-2019-one-man-show-5791424/,One man show,"Christophe Jaffrelot, Cdata, Var Template_Content, Sso_Login_Box, Xwelcome Backorenter The Email Address Or Mobile Number Associated With Your Account To Sign In. Show Passwordsign Innew To The Indian Express Signupxcreate Your Account It Is Quick, Easy.Or Show Passwordnextvalidate Otpregisteralready Have An Account, Signin, Sso_Social_Box, Sign In Withgmailfacebookapple, Var Follow_Widget_Data","The just-concluded Lok Sabha elections were won by Narendra Modi, not the BJP. This is evident from the exit poll conducted by Lokniti-CSDS, which shows that one-third of the BJP voters would have chosen a different party had Modi not been the PM candidate. This state of affairs — typical of the populist scenario spreading across the world — has major implications for the country’s institutions. It is resulting, for instance, in a presidentialisation of sorts of the political system at the expense of parliamentarianism. For the BJP, it means that the party depends on one person more than ever before, like the Congress used to depend on Indira Gandhi in the 1970s-80s. Not only are most of the BJP candidates selected by Modi and Amit Shah, but they depend upon the duo after becoming MPs. Advertisement This transformation of a party which took pride in its collegial and democratic decision-making process is probably more damaging at the state-level, where the BJP faces a greater challenge from its opponents. The party has not won any significant state election in a year: In 2018, it could not win in Karnataka, Rajasthan, Madhya Pradesh, Chhattisgarh and Telangana; in 2019, so far, it",,"But the Congress won comfortably in most of the municipal corporations in cities where the BJP’s Lok Sabha candidates had registered remarkable victories.
The Congress won 90 out of the 217 seats in the municipal councils of seven cities while the BJP managed only 56.
The Congress won 322 out of the 714 seats in the 30 town municipal councils, while the BJP could get only 184.
Third, and more importantly, the more BJP relies upon its supremo to win state elections, the less it can preserve or even rebuild its state party apparatus behind a regional leader.
This spiral of centralisation is transforming the BJP into a one man show, in much the same way it had precipitated the de-institutionalisation of the Congress under Indira Gandhi.","modi, party, congress, cent, seats, won, state, man, bjp, elections, states","narendra modi,bjp,congress,state elections",central government,"narendra modi, amit shah",bjp,anti,"congress,indira gandhi"
8c9b2e13a6d8804482a4834e25af9b51c60218e06920d7f6edc4d4f67ce36258,2025-07-02 15:35:31.872823+00:00,en,dnaindia.com,dnaindia.com,2019-06-21,BJP’s audacious target,https://www.dnaindia.com/analysis/column-bjp-s-audacious-target-2763265,BJP’s audacious target,Amitabh Tiwari,"Party has set an ambitious goal of dislodging Mamata Banerjee from power in 2021 state elections Many cadres of Left have switched over to BJP and have given the much-needed last mile connectivity which it was missing earlier After a record performance in Lok Sabha elections (18 seats / 40% vote share), BJP has set an ambitious target of dislodging Mamata Banerjee from power in 2021 state elections. A weakened Left, a charged-up cadre, poor law and order situation and perceived excessive minority appeasement provide an opportunity for BJP. Critics who were giving BJP not more than 8-10 seats in Lok Sabha were shocked at its tally of 18 seats (+16 vs 2014). It recorded a vote share jump of 23% clearly emerging as the main opposition to Mamata overtaking the Left and benefitting from its collapse. Even if TMC and Congress would have contested together BJP would have still won 12 seats. TMC was leading in 161 Assembly seats, 16 more than majority and BJP in 123 as per trends. The BJP did to TMC, what it did to Congress in 2014, successfully managing to brand Mamata as anti-Hindu and pro-minority community. It led to a sort of Hindu","Congress, Bharatiya Janata Party (BJP), Matua community, Prashant Kishore, Lok Sabha Election 2019, Her DNA, Left Front, TMC, Muslims, Hindu, doctors protest, Amit Shah, opinion, Mamata Banerjee, Narendra Modi, Mukul Roy","Critics who were giving BJP not more than 8-10 seats in Lok Sabha were shocked at its tally of 18 seats (+16 vs 2014).
BJP’s support among STs increased by 42% (TMC -6%), SCs by 37% (TMC -11%) and Gen / OBCs by 31% (TMC -8%).
PM Modi factor played a big role in the BJP’s performance in Lok Sabha.
In state elections, this factor may not hold to be that strong like it was seen in Delhi and Bihar state elections in 2015.
He may not be able to campaign with same vigour in state elections due to Prime Ministerial duties.","lok, left, target, sabha, seats, state, bjps, vote, bjp, mamata, tmc, audacious, elections","bjp,mamata banerjee,west bengal,state elections",,,bjp,neutral,"mamata banerjee,left,tmc,congress,opposition"
3ef9d8469c5dc41b1b0ae8875c065132315a5b0c4a4ffec165d30cfee0b916e1,2025-07-02 10:24:58.756950+00:00,en,indiatimes.com,indiatimes.com,2019-06-25,"Yesterday, once more: Mayawati faces tough challenges but resorting to a discredited playbook won’t help",https://timesofindia.indiatimes.com/blogs/toi-editorials/yesterday-once-more-mayawati-faces-tough-challenges-but-resorting-to-a-discredited-playbook-wont-help/,"Yesterday, once more: Mayawati faces tough challenges but resorting to a discredited playbook won’t help",,"Bahujan Samaj Party chief Mayawati yesterday announced that the party in future will fight elections on its own. The announcement came a day after the party’s all-India meeting in Lucknow and ends a short-lived alliance with Samajwadi Party for the 2019 general election. BSP-SP did improve their aggregate performance in Uttar Pradesh with 15 seats but this tally was quite short of what they expected. The alliance’s unravelling is symptomatic of a larger challenge BSP faces. It has to confront a formidable adversary in BJP and there are no quick fix solutions. In 2017 UP assembly elections, BSP went solo. It contested all 403 seats and won just 19 of them with a 22.2% vote share. If anything, BJP seems to have grown in strength since then. Surveys conducted by CSDS-Lokniti after the 2019 poll suggest that while BSP remains popular with its core social base, it is struggling to persuade a wider cross-section of voters. Over 75% of Jatavs, BSP’s core, voted for the alliance. However, almost half the Dalits belonging to other categories supported BJP. This indicates the narrowness of BSP’s durable support base. Mayawati hasn’t put her best foot forward in dealing with this situation. Her response",,"Bahujan Samaj Party chief Mayawati yesterday announced that the party in future will fight elections on its own.
BSP-SP did improve their aggregate performance in Uttar Pradesh with 15 seats but this tally was quite short of what they expected.
In 2017 UP assembly elections, BSP went solo.
Over 75% of Jatavs, BSP’s core, voted for the alliance.
Reimaging BSP as a dynastic party may well alienate those voters who have so far remained loyal to Mayawati.","discredited, bsp, resorting, help, mayawati, alliance, challenges, voters, yesterday, faces, core, party, bjp, playbook, bsps, tough, wont, seats, elections","bsp,mayawati,samajwadi party,bjp",,,bjp,neutral,"mayawati,bsp,samajwadi party,sp"
dcd2a88950e4f78a478eaf612e83fd71e8015e2c2ab43d5258b551428605c343,2025-07-02 07:08:09.645774+00:00,en,indiatoday.in,indiatoday.in,2019-06-27,"With Narendra Modi taking lead, how BJP is appropriating Congress's issues, leaders",https://www.indiatoday.in/news-analysis/story/with-narendra-modi-taking-lead-how-bjp-is-appropriating-congress-s-issues-leaders-1556913-2019-06-27?utm_source=rss,"With Narendra Modi taking lead, how BJP is appropriating Congress's issues, leaders",,"Nationalism, protection of cows from slaughter, eradicating poverty, economic reforms, digital technology are today political issues that most identify with the BJP, with Prime Minister Narendra Modi as champion. But none of these issues originally belonged to the BJP. They were all Congress's issues. When India got independence, the Congress was symbol of nationalism and talked about bringing development to the country. advertisement The Congress had been the ruling party at the Centre for 55 of nearly 73 years post-independence period. It won elections between 1951-52 and 1967 primarily on its nationalistic appeal. In 1971 Lok Sabha election, garibi hatao (eradicate poverty) was the poll slogan of Indira Gandhi's Congress. She got a thumping majority in the election. During the campaign, her common refrain was - ""they say Indira hatao, I say garibi hatao"". Incidentally, in 2019 Lok Sabha election, PM Modi told his audiences the same - ""The Opposition is working on Modi hatao campaign while I am on garibi hatao mission"". Like Indira Gandhi, PM Modi won a bigger majority in the polls. It was the Indira Gandhi government that first began economic reforms with an intent to integrate India's market with the world's. The economy opened up",,"Incidentally, in 2019 Lok Sabha election, PM Modi told his audiences the same - ""The Opposition is working on Modi hatao campaign while I am on garibi hatao mission"".
It was the Indira Gandhi government that first began economic reforms with an intent to integrate India's market with the world's.
Indira Gandhi, in fact, got the word, ""secular"" inserted in the Preamble to the Constitution when she imposed emergency in 1970s.
At best, Congress leaders including its president Rahul Gandhi have tried to copy the Hindu model of BJP politics by temple-hopping during election times.
He looks to aim for a stature that Congress leaders such as Pandit Jawaharlal Nehru and Indira Gandhi enjoyed in post-Independent India.","election, modi, party, sabha, rahul, indira, issues, gandhi, leaders, bjp, appropriating, lead, taking, congress, congresss, narendra","narendra modi,bjp,congress,indira gandhi",central government,narendra modi,bjp,neutral,"congress,indira gandhi,opposition"
208f5885d54138a55c2671fed309e2e038c343148851709a8cf013102aaed862,2025-07-02 05:56:16.345701+00:00,en,thehindu.com,thehindu.com,2019-06-28,"Will the idea of ‘one nation, one poll’ work in India",https://www.thehindu.com/opinion/op-ed/will-the-idea-of-one-nation-one-poll-work-in-india/article28191477.ece,"Parley | Will the idea of ‘one nation, one poll’ work in India?",Authors,"Last week, when Prime Minister Narendra Modi convened an all-party meeting to discuss the idea of ‘one nation, one poll’, several parties stayed away, calling the idea “anti-democratic” and “anti-federal”. In a discussion moderated by Anuradha Raman , Tiruchi Siva and Jagdeep S. Chhokar speak of the implications of the proposed move. Edited excerpts: When Prime Minister Modi floated the idea of ‘one nation, one poll’ yet again and invited the Opposition for a discussion last week, many prominent parties, including the DMK, stayed away from the meeting. What are your concerns? Tiruchi Siva: One of the reasons the ruling party puts forth [to hold simultaneous elections] is the huge expenditure involved in the election process. In a democratic country, it the right of the people to exercise their franchise. It is the discretion of the people to elect or unseat a government. Citing expenses incurred in elections is not such a big issue in a country as vast as ours. Our main contention is that as long as we have Article 356 in the Constitution, which allows any State government to be removed by the Central government, how can you be sure that the Centre will not unseat a","election, Ground Zero, Good Health Hunting, Monkeypox, Live Now, Hindi Belt, national politics, Between Wickets, Data Point Podcast, ISRO, Spotlight, Live news, Question Corner","A State election should be fought by the people of the State.
How unfair is this proposal to smaller parties and particularly regional parties?
After the emergence of regional parties, importance was given to local issues, and regional importance, of course, gained momentum.
Regional parties will lose out because it will be argued that we are also voting for Parliament and for national issues.
The third issue is that in the last three years, there have been a number of discussions on simultaneous elections.","election, poll, party, regional, parley, work, parties, india, state, simultaneous, money, states, nation, elections, idea, power","one nation, one poll,narendra modi,opposition parties",central government,narendra modi,,neutral,"opposition,tiruchi siva,dmk"
1a199be64216083914a90501675e25dbf75685973daa1e8fe471fe4ae29729a6,2025-07-01 17:20:38.052398+00:00,en,thequint.com,thequint.com,2019-07-07,"Sunday View: The best opinion pieces from across newspapers this Sunday, curated just for you.",https://www.thequint.com/news/india/sunday-view-the-best-weekend-opinion-pieces-modi-budget-congress-election,"Sunday View: The Best Weekend Opinion Reads, Curated Just For You",The Quint,"Is there a new normal emerging, where the era of regional parties being the swing force at the Centre is ending?, asks Chanakya in a column in Hindustan Times. 1989 Indian politics saw a decisive shift when the era of Congress hegemony ended, and was replaced by a constellation of regional parties. However, BJP’s landslide victory in 2014 and 2019 has overturned this thesis. In order to continue to exist and flourish, the regional parties need to improve their governance record, strike a balance between their regional outlook and the larger picture at the centre and widen their social alliances instead of relying on old arithmetic.","Scamguard, Rahul Gandhi, Budget, Climate Change News, Narendra Modi","Is there a new normal emerging, where the era of regional parties being the swing force at the Centre is ending?, asks Chanakya in a column in Hindustan Times.
1989 Indian politics saw a decisive shift when the era of Congress hegemony ended, and was replaced by a constellation of regional parties.
However, BJP’s landslide victory in 2014 and 2019 has overturned this thesis.
In order to continue to exist and flourish, the regional parties need to improve their governance record, strike a balance between their regional outlook and the larger picture at the centre and widen their social alliances instead of relying on old arithmetic.","curated, centre, thesis, swing, regional, parties, view, era, strike, widen, weekend, reads, victory, best, opinion, times","bjp,congress,regional parties",central government,,bjp,neutral,"congress,regional parties"
6cf503c7ceeda977a0fd0834e26b43d0ce24d85517b293ac7698d58a7b3675a6,2025-07-01 12:30:05.331022+00:00,en,ndtv.com,ndtv.com,2019-07-10,DK Shivakumar's Lonely Fight For Congress On Visible Display,https://www.ndtv.com/opinion/karnataka-to-mumbai-congress-shows-its-party-without-a-plan-2067290,DK Shivakumar's Lonely Fight For Congress On Visible Display,Swati Chaturvedi,"Congress leaders call DK Shivakumar ""Sankat Mochan"" (the one who eradicates pain, suffering, sorrow). And, today, the Karnataka veteran appeared to be the party's last man standing outside Mumbai's Renaissance Hotel, waiting for hours in the pouring rain to meet the rebel MLAs whose resignations are placed to bring down the Karnataka government. All he had for company was a huge media contingent giving breathless updates and his Man Friday who organized grande-sized coffees to fuel DKS. Missing in action to support DKS were the warring leaders and workers of the Mumbai Congress who were busy attacking each other on social media. Karnataka's ruling coalition hangs by a thread after a string of resignations by rebel lawmakers Milind Deora, for example, who has quit as Maharashtra chief last week in expectations of a ""national role"", first tweeted that he had phoned DKS and then stirred himself for a late afternoon drop-by after a huge outcry from Congress supporters on social media. On Deora's watch, the Congress lost all six seats in Mumbai in the recent general elections. Maharashtra votes for its state government in three months. And yet, its leaders are busy only with an unedifying and public power struggle.","Congress, DK Shivakumar","Congress leaders call DK Shivakumar ""Sankat Mochan"" (the one who eradicates pain, suffering, sorrow).
Missing in action to support DKS were the warring leaders and workers of the Mumbai Congress who were busy attacking each other on social media.
The leak of Urmila Matondkar's letter comes amid a public feud between Mumbai Congress leaders Milind Deora and Sanjay NirupamContrast this leak versus ugly leak with Shivakumar's absolute discipline.
When I asked about the lack of support from Maharashtra leaders, DKS laughed and said the line is bad and he would call me.
But Scindia is stepping on the ashes of the UP debacle hoping to be made Congress President.","young, mumbai, display, fight, gandhi, visible, leaders, president, lonely, dk, shivakumars, deora, chief, public, congress, dks","dk shivakumar,congress,karnataka,rebel mlas",,,,,"dk shivakumar,congress,milind deora"
36010f81a36b3b5adc3f9d16b2c139e3616ed3fd6ea50866fc8a5b8cae194602,2025-07-01 12:11:17.935326+00:00,en,indiatoday.in,indiatoday.in,2019-07-10,Why DK Shivakumar is the Congress's last resort,https://www.indiatoday.in/news-analysis/story/why-dk-shivakumar-is-the-congress-s-last-resort-1566193-2019-07-10?utm_source=rss,Why DK Shivakumar is the Congress's last resort,,"It’s a pun that’s been doing the political circles for some time now. DK Shivakumar is Congress’s last resort’. In the cess pit that is Indian politics the term horse trading’ is frequently used. And in this world where MLAs are frequently herded into resorts to shield them from poaching, Shivakumar is looked up in awe, a regent of resort politics. advertisement Who is Doddalahalli Kempegowda Shivakumar, 57, who wanted to have coffee with colleagues but was stopped by the Mumbai Police from doing so? For good reasons he is known as the Congress’s troubleshooter, even a kotwal (sentinel). He has taken on Bharatiya Janata Party’s master strategist Amit Shah twice in the recent past and come out trumps. Rewind to May 2018 after the Karnataka assembly results were declared. In the 225-member assembly BJP was the single-largest party with 105 MLAs. Congress won 79 and Janata Dal (Secular) 37. Corralling colleagues Grabbing the opportunity Congress inked an alliance with JD (S) to keep BJP from grabbing power. The man chosen to keep the alliance flock together was DK Shivakumar. Not only did he keep a strict eye on the alliance lawmakers -- media reports say he did not even",,"DK Shivakumar is Congress’s last resort’.
The man chosen to keep the alliance flock together was DK Shivakumar.
He was escorted away from the resort and kept under surveillance while his brother DK Suresh kept watch.
The lone Congress MP from Karnataka is DK Suresh -- brother of DK Shivakumar!
Given how beleaguered the Congress party is, many may think Shivakumar might be the right person to replace Rahul Gandhi as the party boss.","mlas, party, political, shivakumar, resort, s, karnataka, dk, congress, congresss, jd","dk shivakumar,congress,bjp,karnataka",,amit shah,bjp,anti,"dk shivakumar,congress,janata dal (secular),jd(s)"
eaa59f120aaa2237e8c8617b3940ae402587f432dc3dd5e76d781220b2eaf25e,2025-07-01 11:59:34.535606+00:00,en,thequint.com,thequint.com,2019-07-10,"BJP’s One Nation, One Poll Plan: Nafisa Ali Sodhi Criticises A Plan That May Crush Democracy",https://www.thequint.com/voices/opinion/nafisa-ali-sodhi-on-one-nation-one-election-electoral-spending-bonds-democracy,"Before ‘One Nation, One Poll’ Here’s What We Need To Think About",Nafisa Ali Sodhi,"In reality, only a very minimal percentage of the government staff, and NOT the entire staff, is posted on election duty throughout the country during Lok Sabha polls, and it is even less for state assembly elections. Moreover, the period for election duty can last between 1-14 days at the most. Thus, to argue that to avoid wastage of government officers’ loss of working days we must have ‘one nation, one election’, is misleading. Then there is the argument that by holding the elections together and only once in five years, will save a lot of expenditure. The figures given in support of this argument are an estimated Rs 60,000 crores, that was spent by political parties during the 2019 general elections. It is further estimated that out of this amount, more than 50 percent was spent by the BJP. While it is true that elections are becoming costlier, however, legally speaking the actual cost of the election should not be more than Rs 4,000 crore (543x0.7x5 = Rs 1900 crore + Rs 1,100 crore for political parties + Rs 1,000 crore for independents, and other miscellaneous expenses). There is a ceiling of Rs. 0.7 crore on election expenses for","Scamguard, One Nation One Poll, Democracy Under Attack, Electoral Bonds, Climate Change News","Moreover, the period for election duty can last between 1-14 days at the most.
Thus, to argue that to avoid wastage of government officers’ loss of working days we must have ‘one nation, one election’, is misleading.
The figures given in support of this argument are an estimated Rs 60,000 crores, that was spent by political parties during the 2019 general elections.
It is further estimated that out of this amount, more than 50 percent was spent by the BJP.
0.7 crore on election expenses for every candidate contesting a parliamentary election.","heres, election, poll, political, spent, staff, serious, need, parties, expenses, rs, think, crore, nation, elections","one nation, one poll,bjp,election expenditure",,,bjp,anti,
f6776c0cfaa6c2736f83e39f73ada6e7dbca253cf00adb85be6fd4c6a99f15dc,2025-07-01 10:14:15.417283+00:00,en,thequint.com,thequint.com,2019-07-11,Congress Must Rediscover Will To Fight If It Wants To Prevent Total Dissolution,https://www.thequint.com/voices/opinion/congress-disintegration-rahul-gandhi-leaders-defect-to-bjp-maharashtra-karnataka,"Post Karnataka & Goa, Is Maharashtra Congress the Next to Implode?",Smruti Koppikar,"In the Congress, there has been no reflection on the decision to field the pugnacious, entertaining and factually sharp Raj Thackeray as its de facto chief campaigner through March-April. In 2009, he had helped split the Sena-BJP votes and hand Congress-NCP its victory. His party had 13 seats in that Assembly. In 2014, he was smitten with Narendra Modi and endlessly praised him. He drew a blank at the polls. In 2019, he was mocking Modi and searching for his own political relevance. Post-May, Raj Thackeray and his Maharashtra Navnirman Sena have shown some purpose. He visited New Delhi – his last trip was 14 years ago – to impress upon the Election Commission that EVMs are untrustworthy, and polling must be done via ballot boxes. He then sought a meeting with former Congress president Sonia Gandhi. No Maharashtra leader has bothered to approach the EC to demand ballot box polling in the Assembly election.","25 Congress Lok Sabha MPs, Congress, Scamguard, Rahul Gandhi, Climate Change News","In the Congress, there has been no reflection on the decision to field the pugnacious, entertaining and factually sharp Raj Thackeray as its de facto chief campaigner through March-April.
In 2009, he had helped split the Sena-BJP votes and hand Congress-NCP its victory.
Post-May, Raj Thackeray and his Maharashtra Navnirman Sena have shown some purpose.
He then sought a meeting with former Congress president Sonia Gandhi.
No Maharashtra leader has bothered to approach the EC to demand ballot box polling in the Assembly election.","election, modi, ballot, polling, votes, post, implode, raj, karnataka, goa, assembly, congress, maharashtra, thackeray","congress,bjp,raj thackeray,evms",,narendra modi,"bjp,shiv sena",neutral,"raj thackeray,congress,ncp,maharashtra navnirman sena,sonia gandhi"
